date,open,high,low,close,volume
2021-06-10,314.0,324.95,312.7527,324.1,1388017.0
2021-06-09,318.9,326.74,314.28,314.61,1573897.0
2021-06-08,316.38,323.81,312.5,317.2,1424033.0
2021-06-07,308.84,315.78,304.5,314.52,1719334.0
2021-06-04,313.7,319.0,309.01,309.91,1833589.0
2021-06-03,328.42,330.505,309.67,309.83,2277370.0
2021-06-02,331.22,338.69,327.24,331.48,1134500.0
2021-06-01,339.19,340.96,329.2301,333.68,1537553.0
2021-05-28,338.0,342.0256,336.0,336.0,1253895.0
2021-05-27,333.0,339.84,322.55,338.69,2806877.0
2021-05-26,326.95,335.93,325.35,332.36,2714914.0
2021-05-25,326.8,329.62,322.28,324.21,1691375.0
2021-05-24,316.0,325.77,313.64,324.09,1890750.0
2021-05-21,318.2,322.75,310.4,314.64,1831418.0
2021-05-20,300.0,318.4,299.51,316.31,3047794.0
2021-05-19,289.0,300.5,285.35,298.37,2370584.0
2021-05-18,302.15,308.66,297.0,299.54,1853639.0
2021-05-17,297.0,304.0,288.12,297.2,2320089.0
2021-05-14,285.46,299.65,283.5401,299.4,2279679.0
2021-05-13,301.08,305.18,275.6,281.02,3533798.0
2021-05-12,296.2,304.06,287.31,296.32,3264764.0
2021-05-11,283.69,309.986,281.32,306.07,3106165.0
2021-05-10,300.12,300.38,286.07,294.7,3466908.0
2021-05-07,315.99,321.0,305.0,307.15,3143534.0
2021-05-06,305.88,319.8499,298.8901,304.12,6885491.0
2021-05-05,346.0,346.0,332.08,335.72,1703700.0
2021-05-04,348.98,350.0,328.27,342.03,3362652.0
2021-05-03,370.71,374.0,358.0,359.92,1660944.0
2021-04-30,370.36,377.43,365.105,367.8,1583927.0
2021-04-29,394.43,396.035,369.65,375.44,1843843.0
2021-04-28,393.34,396.696,388.04,393.8,1005532.0
2021-04-27,403.0,405.8,390.68,395.89,1022864.0
2021-04-26,386.83,400.92,384.27,400.68,1463523.0
2021-04-23,381.79,387.71,378.705,384.64,1243781.0
2021-04-22,373.0,384.84,371.3338,373.77,1350179.0
2021-04-21,362.0,373.3,357.67,370.2,956592.0
2021-04-20,369.0,377.91,362.28,367.65,1523136.0
2021-04-19,377.86,385.99,362.5,367.46,1949925.0
2021-04-16,391.0,394.1999,383.19,385.24,1195058.0
2021-04-15,377.6,391.805,375.1,389.89,1794008.0
2021-04-14,388.12,393.86,370.3599,372.0,1437796.0
2021-04-13,375.0,389.69,374.5,386.6,1604966.0
2021-04-12,365.68,373.77,362.01,371.06,1099055.0
2021-04-09,365.0,369.27,358.75,368.24,1073850.0
2021-04-08,361.0,370.1,359.755,367.07,1372645.0
2021-04-07,355.62,364.93,351.35,353.11,2277128.0
2021-04-06,349.0,362.5,346.8,357.53,1616144.0
2021-04-05,355.0,355.55,336.3584,348.43,1688517.0
2021-04-01,350.36,360.6164,346.0,352.04,1735013.0
2021-03-31,329.65,346.65,328.285,340.76,2742255.0
2021-03-30,310.25,323.88,306.04,321.2,1752341.0
2021-03-29,320.0,324.76,306.05,315.08,2206565.0
2021-03-26,327.73,336.0,310.185,319.79,2497065.0
2021-03-25,318.38,334.18,315.25,327.61,2374706.0
2021-03-24,355.81,356.98,325.13,326.5,2773928.0
