time_iso8601,stars_cumulative
2022-08-13 00:00:00+00:00,1
2022-08-30 00:00:00+00:00,2
2022-09-08 00:00:00+00:00,4
2022-09-15 00:00:00+00:00,5
2024-07-10 00:00:00+00:00,6
2024-07-31 00:00:00+00:00,7
2024-09-15 00:00:00+00:00,8
2024-09-20 00:00:00+00:00,9
2024-09-27 00:00:00+00:00,10
2024-10-18 00:00:00+00:00,11
2024-10-20 00:00:00+00:00,12
2024-10-22 00:00:00+00:00,13
2024-10-25 00:00:00+00:00,15
2024-10-26 00:00:00+00:00,16
2024-11-01 00:00:00+00:00,17
2024-11-15 00:00:00+00:00,18
2024-11-27 00:00:00+00:00,19
2024-12-07 00:00:00+00:00,21
2024-12-09 00:00:00+00:00,22
2024-12-17 00:00:00+00:00,23
2024-12-18 00:00:00+00:00,30
2024-12-19 00:00:00+00:00,31
