time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-12 00:00:00+00:00,2,1,0,0
2022-12-13 00:00:00+00:00,1,1,0,0
2022-12-17 00:00:00+00:00,0,0,2,1
2022-12-21 00:00:00+00:00,1,1,0,0
2022-12-22 00:00:00+00:00,2,1,0,0
2022-12-23 00:00:00+00:00,1,1,0,0
2022-12-26 00:00:00+00:00,39,23,134,2
2022-12-27 00:00:00+00:00,3,3,11,1
2022-12-28 00:00:00+00:00,2,2,5,1
2022-12-29 00:00:00+00:00,7,5,0,0
2022-12-30 00:00:00+00:00,2,2,4,1
2022-12-31 00:00:00+00:00,2,2,20,2
2023-01-01 00:00:00+00:00,4,4,3,2
2023-01-02 00:00:00+00:00,2,2,0,0
2023-01-03 00:00:00+00:00,6,4,0,0
2023-01-04 00:00:00+00:00,3,3,5,1
2023-01-05 00:00:00+00:00,3,3,1,1
2023-01-06 00:00:00+00:00,2,2,1,1
2023-01-07 00:00:00+00:00,2,2,0,0
2023-01-08 00:00:00+00:00,4,4,0,0
2023-01-09 00:00:00+00:00,3,3,10,1
2023-01-10 00:00:00+00:00,4,4,0,0
2023-01-11 00:00:00+00:00,3,3,0,0
2023-01-12 00:00:00+00:00,3,3,0,0
2023-01-13 00:00:00+00:00,2,2,0,0
2023-01-14 00:00:00+00:00,1,1,0,0
2023-01-15 00:00:00+00:00,1,1,0,0
2023-01-16 00:00:00+00:00,3,3,6,1
2023-01-17 00:00:00+00:00,2,2,2,1
2023-01-18 00:00:00+00:00,1,1,1,1
2023-01-19 00:00:00+00:00,9,4,45,1
2023-01-20 00:00:00+00:00,2,2,19,2
2023-01-21 00:00:00+00:00,2,2,1,1
2023-01-22 00:00:00+00:00,1,1,1,1
2023-01-23 00:00:00+00:00,1,1,0,0
