time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-27 00:00:00+00:00,6,5,45,2
2023-01-28 00:00:00+00:00,1,1,0,0
2023-01-31 00:00:00+00:00,1,1,0,0
2023-02-01 00:00:00+00:00,48,8,70,2
2023-02-03 00:00:00+00:00,0,0,1,1
2023-02-05 00:00:00+00:00,1,1,0,0
2023-02-08 00:00:00+00:00,0,0,4,1
2023-02-10 00:00:00+00:00,0,0,2,1
2023-02-12 00:00:00+00:00,1,1,0,0
2023-02-27 00:00:00+00:00,0,0,1,1
2023-02-28 00:00:00+00:00,0,0,2,1
2023-03-02 00:00:00+00:00,4,2,1,1
2023-03-07 00:00:00+00:00,2,2,1,1
2023-03-12 00:00:00+00:00,0,0,5,1
2023-03-14 00:00:00+00:00,0,0,1,1
2023-03-20 00:00:00+00:00,0,0,6,1
2023-03-21 00:00:00+00:00,0,0,2,2
2023-03-24 00:00:00+00:00,0,0,1,1
2023-04-01 00:00:00+00:00,0,0,4,1
2023-04-05 00:00:00+00:00,0,0,7,1
2023-04-08 00:00:00+00:00,0,0,1,1
